Prenom,Nom,Site,Département,Service,fonction,Date de naissance,Téléphone fixe,Téléphone portable
Ariane,Kaine,Lyon,Communication,Publicité,Caméraman,21/07/1998,-,-
Alice,Perrin,Lyon,Communication,Relation Publique et Presse,Chargé de communication,13/02/2000,0443210987,0767977011
Léa,Gagnon,Lyon,Communication,Relation Publique et Presse,Chargé de presse,16/08/1970,0445678901,0728712373
Adrian,Schultz,Lyon,Communication,Relation Publique et Presse,Chargé de presse,31/05/1998,0440987654,0796563135
Carlos,Alvarez,Lyon,Communication,Relation Publique et Presse,Chargé en droit de la communication,07/03/1984,0412345678,0617625864
Felix,Hoffmann,Lyon,Communication,Publicité,Designer graphique,24/09/1985,0423456789,0757867820
Valérie,Houddin,Lyon,Communication,Publicité,Designer graphique,10/09/1989,0456789012,0788510223
Valentina,Ferrari,Lyon,Communication,-,Directrice communication,28/06/1988,0440987654,0666052403
Jean-Pascal,Millith,Lyon,Communication,Publicité,Ingénieur son,07/03/1997,-,-
Henri,Lambert,Lyon,Communication,Publicité,photographe,12/01/1998,0421098765,0733857081
Pauline,Blanc,Lyon,Communication,Publicité,Publicitaire,29/04/1991,0476543210,0725602768
Elodie,Boucher,Lyon,Communication,Publicité,Publicitaire,24/04/1993,0412345678,0682347056
Amélie,Fournier,Lyon,Communication,Publicité,Publicitaire,12/10/1975,0467890123,0639019377
Giovanni,Moretti,Lyon,Communication,Publicité,Publicitaire,13/05/1999,0432109876,0771068451
Noémie,Pichon,Lyon,Communication,Publicité,Publicitaire,29/01/1978,0432109876,0789291227
Marco,Ricci,Lyon,Communication,Publicité,Publicitaire,30/07/1985,0445678901,0749269032
Jean,Maire,Lyon,Communication,Publicité,Réalisateur,08/12/1987,-,0645220384
Luca,Rizzo,Lyon,Communication,Publicité,Responsable publicité,12/09/1978,0487654321,0627924335
Alexandre,Chevalier,Lyon,Communication,Relation Publique et Presse,Responsable relation média,06/02/1972,0456789012,0776144596
Charlotte,Giroux,Lyon,Communication,Publicité,Webmaster,14/02/1980,0434567890,0776098470
Quentin,Blanchard,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,01/09/1982,0487654321,-
Estelle,Dubois,Lyon,Direction Financière,Service Comptabilité,Comptable,24/01/1985,0456789012,-
Louis,Dupont,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,10/09/1989,0423456789,-
Zoé,Dupuis,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,30/10/1972,0434567890,-
Anaïs,Fontaine,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,02/01/1996,0445678901,-
Justine,Fontaine,Lyon,Direction Financière,Finance,Analyste financier,10/12/1993,0467890123,-
Romain,Gauthier,Lyon,Direction Financière,Service Comptabilité,Comptable,03/01/1984,0421098765,-
Victor,Lemoine,Lyon,Direction Financière,Finance,Analyste financier,11/11/1977,0421098765,-
Gabriel,Mercier,Lyon,Direction Financière,Finance,Analyste financier,29/06/1987,0412345678,-
Eva,Meyer,Lyon,Direction Financière,Contrôle de Gestion,Contrôleur de gestion,03/04/1990,0434567890,-
Leon,Müller,Lyon,Direction Financière,Finance,Analyste financier,21/03/1990,0476543210,-
Morgane,Palaiseau,Lyon,Direction Financière,Finance,Analyste financier,01/11/1983,0412345678,-
Aurélie,Petit,Lyon,Direction Financière,Finance,DAF,04/02/1991,0476543210,0755275775
Mathieu,Roux,Lyon,Direction Financière,Service Comptabilité,Comptable,22/07/1998,0487654321,-
Gilles,Faure,Lyon,Direction Générale,-,CEO,26/05/1970,0421098765,0702448459
Fanny,Garnier,Lyon,Direction Générale,-,Assistant de direction,24/01/1973,0412345678,0612078045
Juliette,Guerin,Lyon,Direction Générale,-,Secrétaire,19/03/1988,0487654321,0676933767
Laure,Henry,Lyon,Direction Générale,-,Assistant de direction,17/04/1985,0412345678,0606523189
Mia,Heschklaesh,Lyon,Direction Générale,-,Secrétaire,24/06/1992,0456789012,0656297307
Émile,Legrand,Lyon,Direction Générale,-,Directeur adjoint,01/08/1981,0440987654,0668784704
Kévin,Muller,Lyon,Direction Générale,-,Assistant de direction,21/01/1974,0445678901,0632826644
Hélène,Rousseau,Lyon,Direction Générale,-,Assistant de direction,05/04/1974,0432109876,0798576239
Édouard,Boulanger,Lyon,Direction Marketing,Marketing Opérationnel,Chargé de promotion,15/03/1988,0476543210,0699850248
Vanessa,Boyer,Lyon,Direction Marketing,Marketing stratégique,Analyste marketing,27/12/1984,0412345678,0637936280
Danielle,Carpentier,Lyon,Direction Marketing,Marketing Opérationnel,Chargé de promotion,08/07/1974,0467890123,0674484733
Sylvie,Charpentier,Lyon,Direction Marketing,Marketing Digital,Responsable marketing digital,13/04/1971,0445678901,0609992482
Kylian,Chauvin,Lyon,Direction Marketing,Marketing Produit,Chef de produit,30/04/1991,0434567890,0735615585
Ulrich,Da Silva,Lyon,Direction Marketing,Marketing Digital,Content manager,24/06/1970,0423456789,0760489146
Rémi,Deschamps,Lyon,Direction Marketing,Marketing Digital,Community manager,25/02/1975,0456789012,0777610318
Charles,Fernandez,Lyon,Direction Marketing,Marketing Opérationnel,Chargé de promotion,26/07/1972,0423456789,0632850032
Justine,Gallet,Lyon,Direction Marketing,Marketing Opérationnel,Responsable Marketing Operationnel,14/09/1973,0434567890,0689838313
Gaël,Garnier,Lyon,Direction Marketing,Marketing Opérationnel,Assistant marketing,22/08/1989,0476543210,0616096309
Paulette,Huet,Lyon,Direction Marketing,Marketing Produit,Responsable de gamme,25/07/1989,0456789012,0791316893
Igor,Lapierre,Lyon,Direction Marketing,Marketing Opérationnel,Coordinateur Marketing,03/07/1975,0421098765,0787838091
Xena,Leblanc,Lyon,Direction Marketing,Marketing stratégique,Analyste marketing,25/09/1971,0421098765,0752205346
Flore,Leclercq,Lyon,Direction Marketing,Marketing Opérationnel,Chef de projet,24/01/1985,0432109876,0629601834
Brigitte,Lucas,Lyon,Direction Marketing,Marketing stratégique,Directeur Marketing Stratégique,16/04/2000,0412345678,0798083548
Walter,Maillard,Lyon,Direction Marketing,Marketing stratégique,Analyste marketing,16/08/1981,0487654321,0785225605
Olivier,Marechal,Lyon,Direction Marketing,Marketing Produit,Gestionaire de marque,04/02/1976,0487654321,0763563050
Tristan,Marie,Lyon,Direction Marketing,Marketing Digital,Analyste web,24/07/1975,0445678901,0648458518
Amaury,Meyer,Lyon,Direction Marketing,Marketing stratégique,Chef de produit stratégique,02/02/2000,0412345678,0669097724
Hortense,Morvan,Lyon,Direction Marketing,Marketing Opérationnel,Assistant marketing,14/08/1975,0434567890,0793763664
Nina,Pichon,Lyon,Direction Marketing,Marketing Produit,Chef de produit,16/09/1980,0476543210,0613794690
Zoel,Roger,Lyon,Direction Marketing,Marketing stratégique,Chef de produit stratégique,31/07/1983,0440987654,0733111117
Aisha,Abdullah,Lyon,R&D,Innovation et Stratégie,Chercheur,09/10/1983,0476543210,-
Nora,Al-Hassan,Lyon,R&D,Laboratoire,Responsable Laboratoire,24/01/1987,0412345678,0694122527
Xander,Bailly,Lyon,R&D,Innovation et Stratégie,Chercheur,31/07/1997,0476543210,-
Kai,Chen,Lyon,R&D,Laboratoire,Laborantin,30/12/1979,0456789012,-
Leila,Da Silva,Lyon,R&D,Laboratoire,Laborantin,18/06/1986,0476543210,-
Youssef,El Amrani,Lyon,R&D,Innovation et Stratégie,Chercheur,12/12/1977,0445678901,-
Jean-pierre,Gadere,Lyon,R&D,Innovation et Stratégie,Chercheur,07/11/1988,0412345678,-
Maria,Garcia,Lyon,R&D,Innovation et Stratégie,Chercheur,02/03/1971,0412345678,-
Alejandro,Gomez,Lyon,R&D,Laboratoire,Laborantin,30/12/1995,0445678901,-
Yolande,Gros,Lyon,R&D,Innovation et Stratégie,Chercheur,25/09/1980,0421098765,-
Juan,Hernandez,Lyon,R&D,Innovation et Stratégie,Chercheur,20/11/1987,0412345678,-
Soffia,Itsch,Lyon,R&D,Innovation et Stratégie,Chercheur,18/12/1985,0476543210,-
Katya,Ivanov,Lyon,R&D,Innovation et Stratégie,Chercheur,05/07/1979,0434567890,-
Ahmed,Khalid,Lyon,R&D,Innovation et Stratégie,Chercheur,11/08/1990,0421098765,-
Nina,Kovačević,Lyon,R&D,Laboratoire,Laborantin,20/04/1990,0412345678,-
Willy,Le Roux,Lyon,R&D,Innovation et Stratégie,Chercheur,12/12/1997,0423456789,-
Ibrahim,Lebn',Lyon,R&D,Innovation et Stratégie,Chercheur,30/06/1973,0434567890,-
Natasha,Lereculey,Lyon,R&D,Innovation et Stratégie,Chercheur,23/09/1975,0421098765,-
Chang,Li,Lyon,R&D,Innovation et Stratégie,Chercheur,26/05/1977,0434567890,-
Mia,Nguyen,Lyon,R&D,Innovation et Stratégie,Chercheur,30/12/1978,0432109876,-
Jamal,Nkrumah,Lyon,R&D,Innovation et Stratégie,Chercheur,14/02/1992,0423456789,-
Liam,O'Connor,Lyon,R&D,Innovation et Stratégie,Chercheur,28/05/1979,0440987654,-
Aya,Patel,Lyon,R&D,Innovation et Stratégie,Chercheur,28/08/1974,0434567890,-
Paul,Perrin,Lyon,R&D,Innovation et Stratégie,Chercheur,24/01/1971,0434567890,-
Victoria,Perrot,Lyon,R&D,Innovation et Stratégie,Chercheur,28/02/1972,0467890123,-
Ivan,Petrov,Lyon,R&D,Innovation et Stratégie,Chercheur,26/07/1973,0487654321,-
Ziad,Prevost,Lyon,R&D,Innovation et Stratégie,Chercheur,16/07/1999,0412345678,-
Ines,Rex,Lyon,R&D,Innovation et Stratégie,Chercheur,15/04/1982,0487654321,-
Sofia,Rodriguez,Lyon,R&D,Innovation et Stratégie,Responsable Recherche,07/03/1994,0456789012,0667856189
Kelly,Arnaud,Lyon,RH,-,Directeur-Adjoint RH,26/11/1988,0476543210,0770673819
Myriam,Aubert,Lyon,RH,Formation,Formateur,25/06/1990,0421098765,0731355860
Jordan,Barbier,Lyon,RH,Gestion des performances,Agent RH,14/11/1970,0487654321,-
Delphine,Boucher,Lyon,RH,Gestion des performances,Agent RH,14/11/1998,0434567890,-
Étienne,Brun,Lyon,RH,Gestion des performances,Agent RH,12/02/1992,0412345678,-
Cédric,Caron,Lyon,RH,Gestion des performances,Agent RH,21/12/1998,0456789012,-
Xenia,Chevalier,Lyon,RH,Recrutement,Agent RH,31/07/1985,0412345678,-
Yves,Colin,Lyon,RH,Recrutement,Agent RH,06/12/1999,0440987654,-
Noah,Dumas,Lyon,RH,Formation,Formateur,20/01/1975,0421098765,0681305279
Rayan,Fontaine,Lyon,RH,Santé et sécurité au travail,Technicien HSE,31/05/1998,0432109876,0753814244
Wendy,Fontaine,Lyon,RH,Recrutement,Agent RH,26/08/1973,0445678901,-
Geneviève,Giraud,Lyon,RH,Gestion des performances,Agent RH,23/03/1978,0421098765,-
Timothée,Guillot,Lyon,RH,Santé et sécurité au travail,Auditeur,25/11/1991,0412345678,0665661105
Uriel,Hubert,Lyon,RH,Santé et sécurité au travail,Animateur sécurité,26/02/1984,0434567890,0655179627
Henri,Joly,Lyon,RH,Gestion des performances,Agent RH,10/03/1974,0423456789,-
Paul,Lacombe,Lyon,RH,Santé et sécurité au travail,Technicien HSE,26/04/1983,0487654321,0696681410
Sara,Lebrun,Lyon,RH,Santé et sécurité au travail,Technicien HSE,08/01/1977,0412345678,0647307941
Zacharie,Leclerc,Lyon,RH,Recrutement,Agent RH,25/09/1989,0432109876,-
Irène,Lemoine,Lyon,RH,Gestion des performances,Agent RH,06/04/1983,0476543210,-
Lionel,Marchand,Lyon,RH,-,Directeur RH,08/11/1989,0445678901,0689914715
Antoine,Poirier,Lyon,RH,Recrutement,Agent RH,04/04/1993,0434567890,-
